Node1,Node2,Correlation,Score
BAX,CCND1,0.863560787,17.86446778
BAX,pEIF4EBP1,0.84800529,17.4077895
BAX,pERBB3,0.926108383,17.914086
BAX,pRPS6KB1,0.905896734,18.53929876
BAX,pAKT1S1,0.844070241,17.34757212
BAX,pRPS6,0.7456637,15.35327039
BCL2L11,ERBB3,0.90237164,16.14777948
BCL2L11,MKI67,0.879959848,14.15782155
CASP6,CDKN1B,0.973947433,16.62294292
CASP7,CCND1,-0.758156526,15.49043505
CASP7,pRPS6,-0.751181613,15.27512863
CCND1,ERBB2,0.899114085,17.98744468
CCND1,CDKN1A,0.894393974,18.29295081
CCND1,pEIF4EBP1,0.85968222,17.66273376
CCND1,pACACA,0.892833211,17.44347994
CCND1,pADD1,0.795972567,15.30463501
CCND1,pCDC25A,0.762259565,15.64813774
CCND1,pBCL2,0.767438232,14.53803858
CCND1,pBRAF,0.992694549,20.24883724
CCND1,pERBB3,0.835553481,17.01281301
CCND1,pFOXO3,-0.910358331,17.938349
CCND1,pSTK11,0.71452826,14.25026179
CCND1,pMET,0.833417369,16.73912414
CCND1,pMTOR,0.773355825,15.8691433
CCND1,pMAPK14,-0.837623578,17.29625258
CCND1,pRPS6KB1,0.795446803,16.29302832
CCND1,pRPS6KA1,0.926416378,17.85835163
CCND1,pPKIA,0.773562409,14.94600915
CCND1,pAKT1S1,0.908824114,18.69452449
CCND1,pRPS6,0.797225225,16.42905982
CCND1,pMAPK8,0.883280065,17.08984842
CCND1,pSHC1,0.88060253,17.64178944
CCND1,pSTAT3,0.961189111,19.63873815
EGFR,pRPS6,0.78138211,16.08871508
ERBB3,MKI67,0.866511932,17.35317675
HMOX1,pCDC25A,0.967803685,19.82649276
HMOX1,pBAD,0.709279709,14.51129296
HMOX1,pSKAP2,0.903839906,15.81838117
MKI67,pBAD,-0.733263716,14.95677571
MKI67,pEGFR,0.991310139,15.22114089
MKI67,pRPS6KA3,0.931064063,14.64493095
MKI67,pSGK1,0.965337556,19.37226324
MKI67,pSMAD1,0.962195396,15.64669166
MKI67,pSTAT5A,0.934990945,15.32369378
CDKN1A,pAKT1S1,0.714116784,14.50956889
CDKN1A,pRPS6,0.800082182,16.28646514
CDKN1B,pEIF4EBP1,0.802972657,16.29363971
CDKN1B,pKIT,0.949317041,15.75836328
CDKN1B,pSRC,0.85493669,15.40706059
pEIF4EBP1,pACACA,0.907569535,18.49460017
pEIF4EBP1,pBAD,0.757243374,15.40436794
pEIF4EBP1,pBAD,0.786245265,15.97949594
pEIF4EBP1,pBRAF,0.902366141,18.26280319
pEIF4EBP1,pERBB3,0.869876404,17.57330576
pEIF4EBP1,pFOXO3,-0.750033399,15.40992699
pEIF4EBP1,pMAPK14,-0.732433723,15.00766736
pEIF4EBP1,pRPS6KB1,0.970544825,19.72516438
pEIF4EBP1,pPKIA,0.724389369,14.60510573
pEIF4EBP1,pAKT1S1,0.97849258,19.97196881
pEIF4EBP1,pSTAT3,0.781567587,15.84444858
pEIF4EBP1,pSRC,0.896282593,18.20147055
pACACA,pBAD,0.765796107,14.80609935
pACACA,pAKT1S1,0.94228064,19.22490209
pADD1,pMAPK3,0.846228262,14.08978454
pADD1,pRPS6,0.92953347,18.71214179
pCDC25A,pBAD,0.723678966,14.70925089
pCDC25A,pAKT1S1,0.751430027,15.32460571
pCDC25A,pMAPK8,0.883509573,17.82222024
pCDC25A,pSKAP2,0.902003763,17.24266585
pBAD,pH3F3A,-0.882839452,14.10440714
pBAD,pAKT1S1,0.818299889,16.66635501
pBAD,pSKAP2,0.893977583,15.40480101
pBAD,pSTAT5A,-0.816091487,16.49953549
pBAD,pAKT1S1,0.812292671,16.52866527
pBRAF,pAKT1S1,0.932274832,18.89082867
pBRAF,pRPS6,0.791352305,16.06519783
pRAF1,pMAPK3,0.902332242,15.85792839
pERBB3,pAKT1S1,0.911849417,18.44345966
pMAPK3,pMTOR,0.776247068,15.92847116
pMAPK3,pNFKB1,0.956250552,15.05755315
pFOXO3,pAKT1S1,-0.774140057,15.92407159
pFOXO3,pRPS6,-0.882359102,18.18348193
pJAK1,pAKT1S1,-0.70310314,14.07413631
pMTOR,pRPS6,0.794663527,16.22936322
pMAPK14,pAKT1S1,-0.810359434,16.6241157
pRPS6KB1,pAKT1S1,0.922545018,18.77209822
pRPS6KA1,pRPS6,0.8352689,16.85564207
pPKIA,pRPS6,0.806067425,16.3019904
pAKT1S1,pMAPK8,0.783565328,15.83857144
pAKT1S1,pSTAT3,0.824777187,16.74051284
pRPS6KA3,pRPS6,0.70649685,14.28826486
pRPS6,pSTAT3,0.871372044,17.71917712
pRPS6,SOX2,0.709039161,14.61173883
pRPS6,BIRC5,0.713949917,14.41831782
