Node1,Node2,Correlation,Score
BAX,BCL2L11,0.744178031,15.31272819
BAX,CASP6,0.756774381,15.370843
BAX,CASP7,0.896371302,18.25204746
BAX,CCND1,0.835844008,17.28114161
BAX,EGFR,0.770085758,15.89330482
BAX,CDKN1A,0.705633212,14.39273904
BAX,pEIF4EBP1,0.84855455,17.24632991
BAX,pADD1,-0.77007954,15.5002129
BAX,pSTK11,-0.755677076,15.02666085
BAX,pMET,0.797450751,15.97796013
BAX,pMTOR,0.765500608,15.64630926
BAX,pRPS6KA1,0.836673432,16.88913957
BAX,pPTEN,-0.739721712,14.94518074
BAX,pRET,0.798291589,16.06806691
BAX,pRPS6KA3,0.821711421,16.61567995
BAX,pSGK1,0.848784261,17.02756344
BAX,pSMAD1,0.766217837,15.83708747
BAX,pSKAP2,-0.742962564,15.03549083
BAX,SOX2,0.636108838,13.15530924
BAX,BIRC5,0.75364116,15.21304519
BCL2L11,CCND1,0.946537507,19.49363091
BCL2L11,MKI67,0.860843202,17.61098866
BCL2L11,CDKN1A,0.979089065,19.89166925
CASP7,CCND1,0.636888354,12.97986362
CASP7,CDKN1A,0.651907532,13.10461709
CASP7,pGSK3A,0.757718589,14.27019873
CASP9,MKI67,0.86534607,17.79328465
CASP9,CDKN1A,0.713768571,14.57566503
CCND1,EGFR,0.785743648,16.23058041
CCND1,ERBB3,0.678698783,13.61080891
CCND1,MKI67,0.713661517,14.67017977
CCND1,CDKN1A,0.886079298,18.08920795
CCND1,CDKN1B,0.749141998,15.36120366
CCND1,pEIF4EBP1,0.681060715,13.85436551
CCND1,pADD1,-0.827718391,16.67524845
CCND1,pBRAF,0.642707624,13.07417408
CCND1,pABL1,0.649311707,12.8421285
CCND1,pSTK11,-0.652183897,12.98041789
CCND1,pMTOR,0.983572302,20.12122377
CCND1,pRPS6KB1,0.915059288,18.71028203
CCND1,pPKIA,0.751957987,15.20591507
CCND1,pPLK1,0.97001875,19.26963023
CCND1,pAKT1S1,0.742335368,15.23479398
CCND1,pPTEN,-0.707076812,14.29833864
CCND1,pRPS6KA3,0.750349063,15.18616074
CCND1,pRPS6,0.678030138,13.9587756
CCND1,pSGK1,0.958488031,19.24557126
CCND1,pSMAD1,0.766448238,15.85562533
CCND1,pSKAP2,-0.743571767,15.0611839
CCND1,BIRC5,0.839653344,16.96438364
EGFR,MKI67,0.649717871,13.33188093
EGFR,CDKN1A,0.94094751,19.174782
ERBB3,MKI67,0.842161306,16.77369093
ERBB4,MKI67,0.65762561,13.40055518
ERBB4,CDKN1A,0.687169058,13.9054503
HMOX1,pPRKAB1,-0.761319244,12.82699572
HMOX1,pCDC25A,-0.954595494,15.73274918
HMOX1,pBAD,-0.796236313,13.06980414
HMOX1,pGSK3A,0.74609711,15.20335481
HMOX1,pSRC,0.755516026,14.46291612
HMOX1,pSTAT3,-0.703957273,12.87214683
HMOX1,pTSC2,-0.788288604,13.28966006
HMOX1,pKDR,-0.973245933,17.58186245
MKI67,CDKN1A,0.854118462,17.31985529
MKI67,CDKN1B,0.803545421,16.36679375
MKI67,pBRAF,0.796463742,16.09294613
MKI67,pFADD,0.900268466,18.0818233
MKI67,pIGF1R,0.669453307,13.36612874
MKI67,pMAP2K1,0.921095312,18.43038292
MKI67,pMTOR,0.81931278,16.64880601
MKI67,pRPS6KB1,0.660428341,13.41345337
MKI67,pPKIA,0.791587831,15.89898107
MKI67,pPRKCA,0.630064294,12.95541024
MKI67,pAKT1S1,0.636660281,12.9789269
MKI67,pRPS6,0.99035628,20.25319348
MKI67,pSGK1,0.759770339,15.15153463
MKI67,pSMAD1,0.68532729,14.08368579
MKI67,BIRC5,0.768168962,15.41499618
CDKN1A,pEIF4EBP1,0.772289751,15.49535155
CDKN1A,pMTOR,0.92484557,18.66257235
CDKN1A,pPRKCA,0.739890184,15.10908706
CDKN1A,pAKT1S1,0.780022886,15.79127035
CDKN1A,pRPS6KA3,0.830316026,16.5736291
CDKN1A,pRPS6,0.864030784,17.54767237
CDKN1A,pSMAD1,0.936114917,19.10514804
CDKN1A,SOX2,0.813343338,16.60905302
pEIF4EBP1,pACACA,0.883982298,13.56397131
pEIF4EBP1,pERBB3,0.907797792,18.2312931
pEIF4EBP1,pRPS6KA1,0.869309285,14.18533824
pEIF4EBP1,pAKT1S1,0.658937521,13.39936337
pEIF4EBP1,pRPS6KA3,0.701296329,13.36025915
pEIF4EBP1,pGSK3A,0.648587298,13.0342393
pACACA,pPRKAB1,0.74918683,12.91796987
pCDC25A,pGSK3A,-0.848833934,16.05168527
pBAD,pBRAF,0.822159092,16.53900973
pBAD,pGSK3A,-0.948718693,17.91073597
pBRAF,pGSK3A,-0.742125981,14.91402569
pRAF1,pGSK3A,0.766702369,14.45739426
pCREB1,pGSK3A,0.912128473,18.44441595
pGSK3A,pMAPK8,0.942524647,18.88841735
pGSK3A,pSTAT5A,0.697119362,14.03589993
pGSK3A,pTSC2,-0.992710889,19.31110598
pGSK3A,pKDR,-0.851918967,17.21839622
