Node1,Node2,Correlation,Score
BAX,CASP6,0.969694621,16.07755231
BAX,HMOX1,0.906083479,18.70557803
BAX,BIRC5,0.695506598,14.10092351
BCL2L11,CDKN1B,0.974289913,14.36177809
BCL2L11,pRPS6,0.891075343,18.28314703
BCL2L11,BIRC5,0.748146274,14.36614237
CASP6,EGFR,0.891465338,14.6705929
CASP6,HMOX1,0.85465338,17.37610036
CASP6,pMAPK14,0.92160444,15.89769123
CASP7,CASP9,0.71881146,12.8240611
CASP7,HMOX1,0.829293457,16.90859588
CASP7,pEIF4EBP1,0.867615385,16.63169552
CASP7,pACACA,-0.756140173,13.97805917
CASP7,pPRKAA1,0.934714171,14.77089847
CASP7,pCREB1,0.786289989,14.72936673
CASP7,pH3F3A,0.915562077,15.29147677
CASP7,pMAPK14,0.814068405,13.0997958
CASP7,pRET,0.667767242,13.32502137
CASP7,pSMAD1,0.857352514,13.6580669
CASP9,HMOX1,0.695883021,14.37844628
CCND1,pRAF1,-0.8288996,12.99642031
CCND1,pMAPK3,-0.676692012,13.33402141
CCND1,pASAP2,-0.781498771,16.11058221
EGFR,HMOX1,0.890716896,18.38834367
EGFR,BIRC5,0.819905029,14.38936967
ERBB3,HMOX1,0.750627103,15.07869383
ERBB3,MKI67,0.78083541,14.11143656
ERBB3,pRPS6,0.81267262,16.28089718
ERBB4,pEIF4EBP1,-0.858672161,17.51250621
HMOX1,CDKN1A,0.626323362,12.78347777
HMOX1,pADD1,0.861220213,17.38376332
HMOX1,pPRKAA1,0.773923261,15.76240396
HMOX1,pFOXO1,0.758338142,15.16010362
HMOX1,pGSK3A,0.715775347,14.6441885
HMOX1,pH3F3A,0.855215031,17.67058976
HMOX1,pMAPK14,0.864666946,17.81788275
HMOX1,pRPS6KA3,0.825113607,16.73203359
HMOX1,pMAPK8,0.797946245,16.20278734
HMOX1,pSHC1,-0.914519854,18.28236637
HMOX1,pSMAD1,0.921441553,19.03897274
HMOX1,pSTAT3,0.653425139,13.32278884
HMOX1,pSTAT5A,0.889543371,18.12726007
HMOX1,pVAV3,0.836587344,16.6758852
HMOX1,BIRC5,0.703549504,14.24652334
MKI67,CDKN1A,0.898035149,13.48889584
MKI67,CDKN1B,0.773368474,15.81516693
MKI67,pRPS6,0.935723111,19.18568585
MKI67,pSGK1,0.937545871,17.22168115
MKI67,BIRC5,0.91816456,16.8416554
CDKN1A,pRPS6,0.913573244,18.59668811
CDKN1B,pBRAF,0.914245234,14.52240603
CDKN1B,pMTOR,0.933354485,16.4765612
CDKN1B,pRPS6,0.911693773,18.65053492
pEIF4EBP1,pEGFR,-0.832101533,17.04987444
pEIF4EBP1,pERBB3,0.659014994,13.31346837
pEIF4EBP1,pNFKB1,0.644849265,12.95216277
pEIF4EBP1,pSKAP2,-0.884694491,17.81154632
pEIF4EBP1,pSRC,-0.673732566,13.75152562
pEIF4EBP1,pCREB1,0.906920246,18.33845896
pBAD,pRPS6KB1,0.914988483,13.43191677
pBAD,pRPS6,0.928215138,18.94008034
pBAD,pRPS6,0.874950129,17.83669268
pBRAF,pCREB1,-0.666720686,13.45175923
pBRAF,pRPS6,0.809800402,16.4397116
pKIT,pASAP2,0.81937684,16.47082436
pRAF1,pASAP2,0.682964891,13.89285787
pCREB1,pRPS6,-0.657785773,13.40959021
pEGFR,pASAP2,0.649046104,13.34403971
pERBB2,pRPS6,-0.707740666,14.25935678
pMAPK3,pAKT1S1,-0.710946115,13.69920912
pMAPK3,pASAP2,0.659704225,13.59978997
pMAPK3,pKDR,-0.861381383,14.54627397
pFADD,pRPS6,0.869737168,17.57726839
pFADD,pSTAT5A,0.716182629,14.33996409
pPTK2,pRPS6,-0.672757663,13.55452922
pFOXO3,pASAP2,-0.758736113,15.64133046
pIGF1R,pASAP2,0.642499236,12.91529312
pIGF1R,pRPS6,0.732905527,14.7273473
pMAP2K1,pRPS6,0.933018893,18.79819815
pMTOR,pRPS6,0.70857294,14.47114059
pRPS6KB1,pRPS6,0.841508451,17.15495218
pPKIA,pRPS6,0.736568417,14.89643533
pAKT1S1,pASAP2,-0.946300521,19.38050181
pAKT1S1,pSRC,-0.849025318,12.84479254
pPTEN,pRPS6,0.821251053,16.60906566
pASAP2,pSRC,0.813228146,16.655142
pASAP2,pTSC2,-0.642642015,13.24805284
pASAP2,pKDR,-0.836334489,17.0937483
pASAP2,SOX2,-0.77549438,15.9868018
pRPS6,pSGK1,0.933645295,18.74308213
pRPS6,pSTAT3,0.883322815,17.96219368
pRPS6,BIRC5,0.867483571,17.51895131
pSTAT3,BIRC5,0.901247493,16.51092414
pSTAT5A,BIRC5,0.684153907,13.6885872
