Node1,Node2,Correlation,Score
BAX,pEIF4EBP1,0.562806315,8.670984758
BAX,pCDC25A,0.591107097,8.860125159
BCL2L11,pEIF4EBP1,0.744106746,11.40649411
BCL2L11,pCDC25A,0.654144809,9.54675348
CASP9,pEIF4EBP1,0.602305699,8.442084075
CCND1,ERBB4,0.92438147,9.310523792
CCND1,pEIF4EBP1,0.827441063,12.05333706
CCND1,pCDC25A,0.593136251,8.742292582
CCND1,BIRC5,-0.854088262,9.560403187
EGFR,ERBB4,0.762881928,8.226541662
EGFR,pEIF4EBP1,0.985653492,13.71951295
EGFR,pCDC25A,0.702255681,10.34518681
EGFR,BIRC5,-0.925140684,10.01048476
ERBB4,pEIF4EBP1,0.674671901,12.23827604
ERBB4,pBRAF,-0.76751578,12.19152491
ERBB4,pEGFR,0.813866906,8.471707802
ERBB4,pMAPK3,0.925288058,9.700190295
ERBB4,pASAP2,0.923971232,9.751563533
ERBB4,pKDR,0.975588095,9.595644324
ERBB4,BIRC5,-0.905764591,13.57087207
HMOX1,pEIF4EBP1,0.718737588,13.29887493
HMOX1,BIRC5,-0.739290104,9.51035386
MKI67,pEIF4EBP1,0.825935022,11.44964444
MKI67,pCDC25A,0.968946453,14.20204579
CDKN1A,pEIF4EBP1,0.653240425,9.991921148
CDKN1A,pCDC25A,0.828789464,12.96916105
CDKN1B,pCDC25A,0.620952007,9.066888003
pEIF4EBP1,pACACA,0.835361925,11.67756078
pEIF4EBP1,pADD1,0.674494305,13.53611131
pEIF4EBP1,pPRKAA1,0.822593475,13.67146147
pEIF4EBP1,pPRKAB1,0.861177566,14.65665236
pEIF4EBP1,pCDC25A,0.805823618,13.35827626
pEIF4EBP1,pBAD,0.972000611,17.63070208
pEIF4EBP1,pBAD,0.762429352,13.11876683
pEIF4EBP1,pRAF1,0.783810331,11.14697119
pEIF4EBP1,pCREB1,0.862049706,13.76650715
pEIF4EBP1,pEGFR,0.965702159,13.41349855
pEIF4EBP1,pERBB3,0.569952046,9.19238818
pEIF4EBP1,pFOXO3,0.809982746,11.2854508
pEIF4EBP1,pGSK3A,0.71076546,10.37752566
pEIF4EBP1,pH3F3A,0.952734096,13.27494293
pEIF4EBP1,pMTOR,0.869792557,11.96581413
pEIF4EBP1,pNFKB1,0.741105387,13.92132118
pEIF4EBP1,pRPS6KB1,0.828876066,11.45476492
pEIF4EBP1,pPKIA,0.828685288,11.69234736
pEIF4EBP1,pAKT1S1,0.753348388,10.47618746
pEIF4EBP1,pASAP2,0.650110279,9.062634646
pEIF4EBP1,pRET,0.651612445,9.142021876
pEIF4EBP1,pRPS6KA3,0.715228449,10.02284963
pEIF4EBP1,pRPS6,0.719473337,10.44751989
pEIF4EBP1,pMAPK8,0.885117208,13.04925992
pEIF4EBP1,pSGK1,0.718472476,9.815503198
pEIF4EBP1,pSMAD1,0.711713463,11.29788457
pEIF4EBP1,pSRC,0.851544001,14.38690569
pEIF4EBP1,pSTAT3,0.729116122,10.08639876
pEIF4EBP1,pSTAT5A,0.882715673,13.68438317
pEIF4EBP1,pKDR,0.63414782,8.773981056
pEIF4EBP1,SOX2,0.764139336,10.68555587
pEIF4EBP1,BIRC5,-0.849309417,13.46670956
pCDC25A,pBAD,0.700950935,10.81828755
pCDC25A,pBAD,0.748913328,12.49528805
pCDC25A,pRAF1,0.979371124,15.06772151
pCDC25A,pCREB1,0.662042329,9.742170829
pCDC25A,pEGFR,0.634612642,9.284360369
pCDC25A,pFOXO3,0.64326358,9.44593886
pCDC25A,pGSK3A,0.726391183,10.53128333
pCDC25A,pH3F3A,0.860299522,12.63078415
pCDC25A,pMTOR,0.845730497,12.41278984
pCDC25A,pRPS6KB1,0.954873734,14.21300101
pCDC25A,pPKIA,0.690354401,10.19846852
pCDC25A,pAKT1S1,0.786809696,11.75207166
pCDC25A,pMAPK8,0.731249222,11.02691915
pCDC25A,pSGK1,0.71170081,10.1557248
pCDC25A,pSRC,0.659385604,10.13582351
pCDC25A,pSTAT5A,0.63126622,9.233779292
pCDC25A,pTSC2,-0.575905778,8.463450863
pCDC25A,SOX2,0.72739953,10.83210049
pBRAF,pMAPK3,-0.77701083,8.231533037
pBRAF,pTSC2,-0.885033921,9.170104675
pRAF1,pRPS6KB1,0.965166734,9.458053191
pEGFR,BIRC5,-0.949330699,10.1209061
pMAPK3,BIRC5,-0.807643082,8.65442761
pFADD,pPRKCA,0.880378018,8.848660014
pFADD,pSRC,0.719787621,8.243921625
pFOXO3,BIRC5,-0.822648215,8.82371857
pASAP2,BIRC5,-0.797886065,8.497272143
pKDR,BIRC5,-0.908561306,9.717843053
