Node1,Node2,Correlation,Score
BAX,CDKN1B,0.920237983,7.464655172
BAX,pCREB1,-0.826380308,5.396444584
BCL2L11,pRAF1,-0.850750285,5.458180077
CASP6,HMOX1,0.991771879,6.43435284
CASP6,pRAF1,0.954589778,5.720155074
CASP7,HMOX1,0.98054166,9.001842501
CASP7,pRAF1,0.960411527,6.177591438
CASP7,pPTEN,-0.866098846,5.461781586
CCND1,CDKN1B,0.679679248,6.861123545
CCND1,pRAF1,-0.666577493,6.218211534
CCND1,pEGFR,-0.860940627,5.508737264
CCND1,pPTEN,0.843077499,5.406981624
CCND1,pSHC1,-0.893841758,5.757436394
HMOX1,CDKN1B,-0.762225449,6.607282202
HMOX1,pADD1,0.968742736,5.796639024
HMOX1,pRAF1,0.914385397,8.243527695
HMOX1,pCREB1,0.874691429,7.01320522
HMOX1,pEGFR,0.944329308,5.558132007
HMOX1,pMAPK3,0.941181649,5.616258818
HMOX1,pGSK3A,0.986308742,8.606872192
HMOX1,pMET,0.978926665,6.1039014
HMOX1,pSKAP2,0.890592429,6.285958337
HMOX1,pSTAT5A,0.924227892,5.441287279
MKI67,CDKN1B,0.931089582,5.364960271
CDKN1B,pEIF4EBP1,0.976625959,6.148564326
CDKN1B,pRAF1,-0.823968881,5.853903963
CDKN1B,pCREB1,-0.91120026,5.463960379
CDKN1B,pMTOR,0.822962671,7.348095958
CDKN1B,pPKIA,0.939592999,5.512441734
CDKN1B,pSKAP2,-0.896044568,5.892297187
CDKN1B,pKDR,-0.931892405,5.604356525
pEIF4EBP1,pRAF1,-0.924667348,5.883596686
pACACA,pRAF1,0.936463276,6.103520768
pBAD,pRAF1,0.974677628,7.384033202
pBAD,pCREB1,0.994446772,7.430843658
pBRAF,pCREB1,-0.773586123,5.453146912
pRAF1,pCREB1,0.980079317,6.235171128
pRAF1,pEGFR,0.90209933,5.756336739
pRAF1,pMAPK3,0.993003133,6.483654296
pRAF1,pGSK3A,0.965028564,5.883379878
pRAF1,pMAPK14,0.92907367,5.820698991
pRAF1,pRPS6KB1,-0.792005647,6.402874235
pRAF1,pPTEN,-0.933614822,7.048840065
pRAF1,pSTAT5A,0.996829805,6.001074629
pRAF1,pKDR,0.888028965,5.598801368
pCREB1,pRPS6KB1,-0.873621681,6.907063492
pCREB1,pPTEN,-0.953936561,6.516916043
pGSK3A,pSKAP2,0.93604714,5.486206627
pPTEN,pSKAP2,-0.982908181,6.726120626
