Node1,Node2,Correlation,Score
BAX,pPRKAA1,-0.95943644,13.36423813
BCL2L11,pRPS6,0.784445416,16.09530663
CASP6,CCND1,0.9725541,14.31849301
CASP6,MKI67,-0.913269405,12.10550854
CASP6,CDKN1B,0.891292232,16.59664008
CASP6,pEIF4EBP1,0.924436385,18.68716829
CASP6,pACACA,0.963866099,15.07842942
CASP6,pBAD,0.899360996,11.72604222
CASP6,pAKT1S1,0.786932313,15.92673921
CASP7,CASP9,0.895201076,14.74935376
CASP7,HMOX1,0.927546445,18.91189165
CASP7,CDKN1A,-0.86663327,13.77769857
CASP7,CDKN1B,0.770000406,15.61632098
CASP7,pEIF4EBP1,0.604002249,12.24472806
CASP7,pEIF4EBP1,0.891258445,15.58649915
CASP7,pRAF1,0.860681424,16.4895456
CASP7,pMAPK3,0.692151274,12.42729219
CASP7,pFOXO3,0.746330419,12.45608448
CASP7,pGSK3A,0.701402407,14.18849226
CASP7,pH3F3A,0.885945998,14.66370795
CASP7,pMTOR,0.965470153,16.43628879
CASP7,pMAPK14,0.712887808,11.75131327
CASP7,pAKT1S1,0.914316028,18.5578838
CASP7,pSTAT3,0.755640163,13.94892075
CASP9,HMOX1,0.900766999,18.61179181
CASP9,pEIF4EBP1,0.746561218,15.33858876
CASP9,pAKT1S1,0.92387642,19.00415063
CCND1,HMOX1,0.603556585,12.47078269
CCND1,CDKN1B,0.878192618,14.7368381
CCND1,pEIF4EBP1,0.918401162,18.86915286
CCND1,pAKT1S1,0.838012322,17.23792497
EGFR,pRPS6,0.802381012,16.52108402
ERBB3,pRPS6,0.788827453,15.80318857
ERBB4,pRPS6,0.788226321,16.12475917
HMOX1,CDKN1A,-0.725977943,14.81746243
HMOX1,CDKN1B,0.757084786,15.52884961
HMOX1,pEIF4EBP1,0.753319794,15.36763531
HMOX1,pADD1,0.595461,12.01940332
HMOX1,pKIT,0.849772812,17.12192496
HMOX1,pRAF1,0.890732988,18.16129623
HMOX1,pFADD,0.86167503,17.46117232
HMOX1,pPTK2,0.954868796,19.29032819
HMOX1,pFOXO1,0.761645538,15.2262225
HMOX1,pFOXO3,0.906689625,18.73416605
HMOX1,pH3F3A,0.826753781,17.08251886
HMOX1,pMTOR,0.922165449,18.88345371
HMOX1,pRPS6KA1,-0.773475164,15.65069504
HMOX1,pPKIA,0.769073841,15.59563341
HMOX1,pPLK1,0.747676234,14.85354536
HMOX1,pAKT1S1,0.837553854,17.1928544
HMOX1,pSKAP2,0.586014191,11.86649242
HMOX1,pSTAT3,0.82834107,16.88917751
HMOX1,pVAV3,0.643452107,12.82607674
MKI67,pEIF4EBP1,-0.708005941,14.47266459
MKI67,pSKAP2,-0.82730808,11.77753957
CDKN1A,pAKT1S1,-0.726819285,14.76766086
CDKN1B,pEIF4EBP1,0.895356827,18.26068517
CDKN1B,pAKT1S1,0.954154742,19.48310353
CDKN1B,pSKAP2,0.685455092,11.73789085
pEIF4EBP1,pACACA,0.906398759,18.47074192
pEIF4EBP1,pPRKAB1,-0.797756297,16.00979868
pEIF4EBP1,pBAD,0.781947736,15.90692116
pEIF4EBP1,pBAD,0.881109796,17.90750424
pEIF4EBP1,pBRAF,0.973240569,19.69721621
pEIF4EBP1,pERBB3,0.838265743,16.93470492
pEIF4EBP1,pRPS6KB1,0.79765917,16.21146993
pEIF4EBP1,pAKT1S1,0.857582418,17.50407683
pEIF4EBP1,pRPS6KA3,-0.771567566,15.55631039
pEIF4EBP1,pAKT1S1,0.876405771,17.79781731
pACACA,pAKT1S1,0.637137737,12.99921709
pADD1,pAKT1S1,0.716248975,14.39151363
pCDC25A,pRPS6,-0.920788007,18.81327448
pCDC25A,pSKAP2,0.824001711,12.26187393
pBAD,pAKT1S1,0.680585839,13.86152603
pBAD,pRPS6,-0.605801485,12.3612817
pBAD,pSKAP2,0.821672263,11.86587262
pBAD,pAKT1S1,0.809619565,16.47427248
pBRAF,pAKT1S1,0.846754037,17.1579076
pKIT,pAKT1S1,0.815483172,16.35588526
pRAF1,pAKT1S1,0.660144855,13.39896834
pERBB3,pAKT1S1,0.618916337,12.51846881
pFADD,pAKT1S1,0.666611735,13.44694107
pPTK2,pAKT1S1,0.698711901,14.0510445
pGSK3A,pRPS6,0.653185994,13.32815497
pH3F3A,pAKT1S1,0.623208548,12.81940838
pMAP2K1,pRPS6,-0.767032734,15.45395644
pMTOR,pAKT1S1,0.792156948,16.14823705
pNFKB1,pAKT1S1,0.652031119,13.11229742
pMAPK14,pAKT1S1,0.59530191,12.21231888
pPKIA,pAKT1S1,0.834856822,16.85268209
pAKT1S1,pSTAT3,0.636142679,12.91179588
pPTEN,pRPS6,-0.645000822,13.04456288
pASAP2,pRPS6,0.852814489,17.49810811
pASAP2,pSKAP2,-0.910771069,15.83172736
pRET,pRPS6,0.786173225,15.82620242
pRPS6,pMAPK8,-0.585557199,11.85826813
pRPS6,pSKAP2,-0.582884873,11.77144104
pRPS6,pSTAT5A,0.690594548,14.03550936
pRPS6,pKDR,-0.591373208,12.08276649
pRPS6,BIRC5,0.582877982,11.77130188
