Node1,Node2,Correlation,Score
BAX,CASP6,0.985508101,20.06099336
BAX,CASP7,0.981086106,17.49688452
BAX,CCND1,0.959489425,19.84894192
BAX,CDKN1B,0.98048215,16.97049041
BAX,pEIF4EBP1,0.801939794,16.46216044
BAX,pERBB3,0.931998535,18.96002009
BAX,pMTOR,0.970086018,18.09891454
BAX,pRPS6KB1,0.905386127,18.52884911
BAX,pAKT1S1,0.905178069,18.60347761
BCL2L11,ERBB3,0.92495129,16.72932306
BCL2L11,pRPS6,0.885662266,18.17208113
CASP6,CASP9,0.842907103,17.17315253
CASP6,CCND1,0.969501375,19.75234867
CASP6,HMOX1,0.889937192,18.09346143
CASP6,CDKN1A,0.932380857,18.76128099
CASP6,CDKN1B,0.974309996,19.70340643
CASP6,pEIF4EBP1,0.862142107,17.42791056
CASP6,pEIF4EBP1,0.827628238,16.64479703
CASP6,pGSK3A,0.825759989,16.65620298
CASP6,pMTOR,0.953716312,19.25443928
CASP6,pRPS6KB1,0.909187658,18.32183179
CASP6,pAKT1S1,0.952154969,19.27068394
CASP6,pSRC,0.863220105,17.47072941
CASP6,pKDR,-0.906587984,18.3109267
CASP7,CCND1,0.939277721,19.19105098
CASP7,CDKN1A,0.998801669,15.66265907
CASP7,CDKN1B,0.983070396,19.93757759
CASP7,pERBB3,0.962357793,18.36960938
CASP7,pMTOR,0.946743909,19.16857799
CASP7,pRPS6KB1,0.886978917,15.94736059
CASP7,pAKT1S1,0.853736185,17.32829398
CASP9,CCND1,0.920470055,19.05806766
CASP9,pEIF4EBP1,0.979457226,20.12358964
CCND1,ERBB2,0.941747079,18.84034937
CCND1,HMOX1,0.7688653,15.88641781
CCND1,CDKN1A,0.929742919,19.01593925
CCND1,CDKN1B,0.977481382,20.09108087
CCND1,pEIF4EBP1,0.918528232,18.87176359
CCND1,pACACA,0.805142966,16.5353992
CCND1,pBRAF,0.81656837,16.65624139
CCND1,pKIT,0.971487735,19.61567693
CCND1,pERBB2,0.874683245,17.70763375
CCND1,pERBB3,0.966039484,19.66965547
CCND1,pPTK2,-0.892209618,18.06244859
CCND1,pGSK3A,0.824606712,16.90587974
CCND1,pMTOR,0.871834161,17.88990369
CCND1,pNFKB1,0.906201374,18.34570644
CCND1,pRPS6KB1,0.979838191,20.06989197
CCND1,pAKT1S1,0.975121506,20.05826276
CCND1,pMAPK8,0.903172472,18.37790247
CCND1,pSRC,0.807312219,16.60642343
CCND1,pKDR,-0.833682566,17.11435346
EGFR,pRPS6,0.93702632,19.29344081
ERBB3,pRPS6,0.780516386,15.63668655
ERBB4,pRPS6,0.88444751,18.09315766
HMOX1,CDKN1B,0.781720045,16.03415265
HMOX1,pEIF4EBP1,0.941306613,19.20254434
HMOX1,pKIT,0.856183649,16.1371752
HMOX1,pFOXO3,-0.844747968,16.35527518
HMOX1,pMTOR,0.879604836,18.01192751
HMOX1,pPRKCA,-0.821920699,15.66589069
HMOX1,pAKT1S1,0.820277403,16.8382127
HMOX1,pMAPK8,0.903014238,15.74530022
HMOX1,pSRC,0.910567027,16.07900169
HMOX1,pKDR,-0.927675056,16.46964139
CDKN1B,pEIF4EBP1,0.821120145,16.74663778
CDKN1B,pBRAF,0.795367691,16.10386322
CDKN1B,pKIT,0.991190657,18.39994023
CDKN1B,pERBB3,0.976085721,19.72702875
CDKN1B,pMTOR,0.931025727,18.96412049
CDKN1B,pAKT1S1,0.927885281,18.94670142
CDKN1B,pMAPK8,0.942911422,15.90789982
pEIF4EBP1,pBAD,0.829774243,16.879841
pEIF4EBP1,pEGFR,-0.823721428,16.87816494
pEIF4EBP1,pERBB3,0.811236369,16.38865555
pEIF4EBP1,pRPS6KB1,0.936898051,19.04133388
pEIF4EBP1,pAKT1S1,0.968182945,19.76153931
pEIF4EBP1,pMAPK8,0.775284763,15.65230708
pEIF4EBP1,pSRC,0.880557661,17.97302351
pEIF4EBP1,pKDR,-0.833361607,16.97521185
pADD1,pMAPK3,0.879454064,17.78923714
pPRKAA1,pMAPK3,0.89126977,18.19031211
pCREB1,pMAPK3,0.8184346,16.76388424
pCREB1,pRPS6,0.830229296,16.92501584
pCREB1,pSTAT3,0.773751893,15.63741919
pERBB3,pGSK3A,0.844676465,15.92817945
pMAPK3,pH3F3A,0.882684609,18.27573088
pMAPK3,pMAPK14,0.823124073,16.99684947
pMAPK3,pRPS6KA1,-0.874285915,17.72772857
pMAPK3,pPKIA,0.852951573,17.33283976
pMAPK3,pPRKCA,0.837901988,17.3485196
pMAPK3,pSMAD1,0.880926268,18.23932494
pMAPK3,pSTAT3,0.928272088,18.96618705
pMAPK3,pTSC2,0.852847294,17.65795786
pGSK3A,pMTOR,0.861948936,17.5121163
pGSK3A,pRPS6,0.827780908,16.89073606
pAKT1S1,pSRC,0.876956565,17.04392721
pRET,pRPS6,0.898700944,18.09146204
pRPS6,pSGK1,0.824452766,16.55102423
pRPS6,pSKAP2,-0.764599502,15.44119324
pRPS6,BIRC5,0.835168329,16.86634051
