Node1,Node2,Correlation,Score
BAX,pKIT,0.698661183,8.174324874
BCL2L11,pNFKB1,0.759684366,11.06026986
EGFR,pNFKB1,-0.806251303,10.4111985
HMOX1,pEIF4EBP1,0.951566514,11.09323233
HMOX1,pCDC25A,0.916087822,9.353732905
HMOX1,pKIT,0.804172263,9.009018909
HMOX1,pNFKB1,0.876053663,14.37392406
HMOX1,pSTAT5A,0.918559641,9.079619744
MKI67,pEIF4EBP1,0.94077684,8.421575346
MKI67,pKIT,0.826719129,8.488785187
CDKN1A,pEIF4EBP1,0.868183692,10.42722856
CDKN1A,pCDC25A,0.766506009,8.792116673
CDKN1A,pNFKB1,0.834488011,14.4462986
CDKN1B,pKIT,0.908491234,10.13181655
pEIF4EBP1,pACACA,0.91152372,8.900006542
pEIF4EBP1,pADD1,0.988580936,13.39313508
pEIF4EBP1,pPRKAA1,0.957417599,8.421827324
pEIF4EBP1,pPRKAB1,0.926154153,8.479254425
pEIF4EBP1,pCDC25A,0.976009546,10.09669126
pEIF4EBP1,pBAD,0.897245473,8.480604171
pEIF4EBP1,pBAD,0.987683285,10.66906578
pEIF4EBP1,pBRAF,0.857962808,14.08937171
pEIF4EBP1,pCREB1,0.867694349,9.012619143
pEIF4EBP1,pERBB3,0.888859224,9.773706904
pEIF4EBP1,pMAPK3,0.746500168,11.20778904
pEIF4EBP1,pFOXO3,0.942579653,8.564008601
pEIF4EBP1,pGSK3A,0.971667615,9.486669947
pEIF4EBP1,pH3F3A,0.965562189,8.76958664
pEIF4EBP1,pNFKB1,0.940052602,12.02272
pEIF4EBP1,pRPS6KB1,0.934247209,8.328145208
pEIF4EBP1,pRPS6KA1,0.877062739,15.59007828
pEIF4EBP1,pAKT1S1,0.92434162,10.23197244
pEIF4EBP1,pRPS6KA3,0.959613131,8.49922384
pEIF4EBP1,pRPS6,0.876014094,8.229551154
pEIF4EBP1,pMAPK8,0.974028103,8.468821961
pEIF4EBP1,pSMAD1,0.937303836,8.746719347
pEIF4EBP1,pSRC,0.947511361,8.484060179
pEIF4EBP1,pSTAT5A,0.891149251,8.187522414
pACACA,pCDC25A,0.969593287,10.07120558
pADD1,pCDC25A,0.933636734,10.21346156
pPRKAA1,pCDC25A,0.995065057,8.873437201
pCDC25A,pBAD,0.934108557,8.300588172
pCDC25A,pBAD,0.966524635,9.681958394
pCDC25A,pMAPK3,0.653086349,8.851237247
pCDC25A,pGSK3A,0.976954137,8.688629171
pCDC25A,pH3F3A,0.958450637,8.75120123
pCDC25A,pNFKB1,0.88242954,11.72500767
pCDC25A,pRPS6KB1,0.958830112,8.752961324
pCDC25A,pRPS6,0.939402617,8.635019667
pCDC25A,pSMAD1,0.913381567,9.535780017
pCDC25A,pSRC,0.985552665,8.984881123
pCDC25A,pSTAT5A,0.81584109,8.273525095
pBAD,pNFKB1,0.85896368,11.93632878
pBAD,pNFKB1,0.923124657,16.56417441
pBRAF,pNFKB1,0.922819962,17.4030774
pBRAF,pRPS6KB1,0.916514639,9.846919658
pBRAF,pSTAT5A,0.98322158,11.28638094
pKIT,pH3F3A,0.853581923,8.820714632
pKIT,pAKT1S1,0.877998295,9.014068721
pKIT,pASAP2,0.824068868,8.52389394
pKIT,pRPS6,0.875216196,9.192671614
pKIT,pSMAD1,0.839560542,9.404723191
pCREB1,pSTAT5A,0.984240084,9.82589622
pEGFR,pNFKB1,0.692352884,8.915244628
pMAPK3,pNFKB1,0.788851493,15.11868843
pMAPK3,pMAPK8,0.79480277,8.578330651
pFOXO3,pNFKB1,0.957022991,12.35487221
pH3F3A,pNFKB1,0.89413892,11.54413484
pNFKB1,pMAPK14,0.576422347,8.171825146
pNFKB1,pPRKCA,0.637142678,8.409006382
pNFKB1,pAKT1S1,0.962196333,14.89314344
pNFKB1,pRPS6KA3,0.965254725,15.18589462
pNFKB1,pRPS6,0.79431494,10.35160087
pNFKB1,pSMAD1,0.866082198,11.19154883
pNFKB1,pSRC,0.876163373,11.71520219
pRPS6KA1,pSMAD1,0.839627626,10.85216339
