Node1,Node2,Correlation,Score
CASP6,HMOX1,0.842133434,14.24288945
CASP7,HMOX1,0.906577861,15.58702799
CASP9,HMOX1,0.897282881,14.55364135
CASP9,pEIF4EBP1,0.634326597,13.03265503
CASP9,pFADD,0.695259867,10.95779847
CCND1,pEIF4EBP1,0.927887024,19.06404609
CCND1,pCDC25A,0.936777191,13.43781397
CCND1,pBRAF,0.705533583,11.61050146
ERBB3,HMOX1,0.808218915,14.18961643
ERBB4,pEIF4EBP1,-0.757193371,15.36470249
ERBB4,TP53,-0.607064433,11.46318896
ERBB4,pBAD,-0.575474544,11.7005934
ERBB4,pBRAF,-0.620122182,12.5556556
ERBB4,pKIT,-0.595472519,11.05403757
ERBB4,pERBB3,-0.571863741,10.81355137
ERBB4,pFOXO3,0.721613521,14.11037804
ERBB4,pRPS6KB1,-0.691881552,13.37550824
ERBB4,pRPS6KA3,-0.73652968,14.85597109
ERBB4,pTSC2,-0.656489318,12.83694414
ERBB4,BIRC5,-0.770444323,15.51772223
HMOX1,CDKN1A,0.729843734,11.89019242
HMOX1,CDKN1B,0.667454645,13.69041223
HMOX1,pEIF4EBP1,0.781224804,16.01753185
HMOX1,TP53,0.807627781,12.55924347
HMOX1,pACACA,0.748570898,14.59314177
HMOX1,pPRKAA1,0.785491609,14.97606699
HMOX1,pPRKAB1,0.669704596,13.51801318
HMOX1,pBAD,0.940992359,19.25194763
HMOX1,pBAD,0.855455453,15.73945518
HMOX1,pKIT,0.853611073,14.15743451
HMOX1,pCREB1,0.722225043,14.76250464
HMOX1,pEGFR,0.877511686,14.23603558
HMOX1,pERBB2,-0.777779564,12.71448621
HMOX1,pERBB3,0.962256285,16.35089142
HMOX1,pMAPK3,0.935369371,17.41729536
HMOX1,pFADD,0.715125504,14.49146049
HMOX1,pFOXO1,0.842256995,13.08626182
HMOX1,pGSK3A,0.806505361,16.5004517
HMOX1,pNFKB1,0.841236272,16.99471576
HMOX1,pRPS6KB1,0.836431243,14.41688885
HMOX1,pRPS6KA1,0.623968078,12.62553028
HMOX1,pPLK1,0.779372598,15.4832342
HMOX1,pAKT1S1,0.650799925,13.35927032
HMOX1,pRPS6KA3,0.829825091,16.82757524
HMOX1,pMAPK8,0.854111336,17.34325393
HMOX1,pSMAD1,0.923338193,19.07816142
HMOX1,pSTAT3,0.720849164,14.69750799
HMOX1,pSTAT5A,0.787788838,16.05368958
HMOX1,pTSC2,0.82867545,13.43313856
MKI67,pEIF4EBP1,0.801553899,16.38492005
MKI67,pCDC25A,0.850474603,12.28098856
MKI67,pBRAF,0.683730225,10.94154262
CDKN1A,pEIF4EBP1,0.961348197,19.50944881
CDKN1A,pCDC25A,0.940186286,16.90058096
CDKN1A,pBRAF,0.85381634,17.2010188
CDKN1B,pEIF4EBP1,0.695732992,14.18938321
pEIF4EBP1,pACACA,0.67440928,13.74322243
pEIF4EBP1,pCDC25A,0.920217431,18.74442704
pEIF4EBP1,pBAD,0.893754726,18.1813762
pEIF4EBP1,pBAD,0.777457879,15.80090281
pEIF4EBP1,pBRAF,0.692745574,14.02033555
pEIF4EBP1,pRAF1,0.899410607,18.23343923
pEIF4EBP1,pCREB1,0.559409725,11.36933453
pEIF4EBP1,pEGFR,0.808453752,16.56532818
pEIF4EBP1,pERBB3,0.889125195,17.96217123
pEIF4EBP1,pMAPK3,0.765556457,15.72885837
pEIF4EBP1,pGSK3A,0.9684205,19.70027897
pEIF4EBP1,pH3F3A,0.705762431,14.50035098
pEIF4EBP1,pMTOR,0.59400265,12.09436274
pEIF4EBP1,pNFKB1,0.852033332,17.11357212
pEIF4EBP1,pRPS6KB1,0.893375228,18.15678449
pEIF4EBP1,pAKT1S1,0.617308486,12.59985622
pEIF4EBP1,pRPS6KA3,0.854175559,17.22184901
pEIF4EBP1,pMAPK8,0.856825355,17.29853883
pEIF4EBP1,pSMAD1,0.953113344,19.58233735
pEIF4EBP1,pSKAP2,-0.716264745,14.42055174
pEIF4EBP1,pSRC,0.623144762,12.71898019
pEIF4EBP1,pSTAT3,0.544369855,11.03582123
pEIF4EBP1,pSTAT5A,0.544284579,11.02810783
pPRKAA1,pFADD,0.76370736,12.18405625
pCDC25A,pRAF1,0.956068703,14.05124535
pCDC25A,pPTK2,-0.792755253,10.95641675
pCDC25A,pGSK3A,0.889962777,13.08720002
pCDC25A,pIGF1R,-0.86799772,12.3527965
pCDC25A,pRPS6KB1,0.796849804,11.86333406
pCDC25A,pSMAD1,0.767334726,11.56721707
pBRAF,pGSK3A,0.775160391,12.26815536
pBRAF,pRPS6KB1,0.794406714,16.02795305
pBRAF,pASAP2,-0.724481187,11.69093855
pCREB1,pFADD,0.764982586,12.96996593
pEGFR,pFADD,0.877810611,13.66895556
pMAPK3,pFADD,0.729825224,11.44562752
pFADD,pH3F3A,0.791300274,12.35523372
pFADD,pPRKCA,0.795478185,12.42250472
pFADD,pSMAD1,0.841966714,13.29944642
pFADD,pSRC,0.904430057,14.01111167
pFADD,pSTAT3,0.770649703,12.39280136
pFADD,pSTAT5A,0.691627076,11.53251547
pFADD,pKDR,0.745130198,11.51164194
pASAP2,BIRC5,-0.917577296,11.3599271
