Node1,Node2,Correlation,Score
BCL2L11,pFADD,0.876445938,17.63705622
BCL2L11,pRPS6KB1,0.831204481,14.86716695
CASP6,ERBB4,0.722923607,14.56686429
CCND1,ERBB4,0.792199351,16.2511914
CCND1,pEIF4EBP1,0.991254195,20.32572945
CCND1,pCDC25A,0.888656272,18.17949903
CCND1,pFADD,0.673112966,13.61152985
CCND1,pRPS6KB1,0.848177452,14.02358523
ERBB3,ERBB4,0.717466781,14.25982072
ERBB4,HMOX1,0.720725316,14.73459946
ERBB4,pEIF4EBP1,0.842790541,17.13058338
ERBB4,pACACA,0.902869096,18.32643544
ERBB4,pBAD,0.738903888,14.99105833
ERBB4,pBAD,0.661994651,13.40330364
ERBB4,pCREB1,0.743068463,15.07555023
ERBB4,pERBB3,0.65202403,13.10043022
ERBB4,pMAPK3,0.832234645,17.07732769
ERBB4,pFADD,0.850369441,17.04372158
ERBB4,pGSK3A,0.715035579,14.49236624
ERBB4,pH3F3A,0.681710953,13.98860454
ERBB4,pPRKCA,0.903636777,18.5424885
ERBB4,pASAP2,0.930980282,18.98545657
ERBB4,pRPS6,0.845048774,17.24593608
ERBB4,pMAPK8,0.662249767,13.31597783
ERBB4,pSMAD1,0.869040796,17.82238312
ERBB4,pSRC,0.746046191,15.17083582
ERBB4,pKDR,0.682486223,13.83962919
ERBB4,BIRC5,-0.692911394,13.87554865
HMOX1,pFADD,0.957301634,19.29141838
MKI67,pEIF4EBP1,0.904943915,18.43210106
MKI67,pCDC25A,0.969939705,19.70961321
MKI67,pBRAF,0.658671354,13.30878237
MKI67,pRPS6KB1,0.899546975,13.88036223
CDKN1A,pEIF4EBP1,0.770345423,15.58169645
CDKN1A,pCDC25A,0.701833591,14.16238625
CDKN1A,pBRAF,0.702101094,14.08707453
CDKN1B,pEIF4EBP1,0.802723986,16.30900122
CDKN1B,pCDC25A,0.833301243,16.89043243
pEIF4EBP1,pACACA,0.866760676,17.58574507
pEIF4EBP1,pADD1,0.852907261,17.02236602
pEIF4EBP1,pPRKAA1,0.864572016,17.4360918
pEIF4EBP1,pPRKAB1,0.886517035,17.71106223
pEIF4EBP1,pCDC25A,0.872643929,17.68788113
pEIF4EBP1,pBAD,0.795412744,16.13040069
pEIF4EBP1,pBAD,0.934696218,18.91628017
pEIF4EBP1,pRAF1,0.850663848,17.19669251
pEIF4EBP1,pCREB1,0.719050525,14.58182958
pEIF4EBP1,pERBB3,0.738128427,14.82382511
pEIF4EBP1,pGSK3A,0.938316536,19.00943004
pEIF4EBP1,pH3F3A,0.797417346,16.35574129
pEIF4EBP1,pMTOR,0.663656658,13.45185554
pEIF4EBP1,pNFKB1,0.737550558,14.72007115
pEIF4EBP1,pRPS6KB1,0.838619567,16.98966114
pEIF4EBP1,pPRKCA,0.751948792,15.42314068
pEIF4EBP1,pAKT1S1,0.675546281,13.73709919
pEIF4EBP1,pASAP2,0.693237604,14.13096851
pEIF4EBP1,pRPS6,0.824817177,16.82565922
pEIF4EBP1,pMAPK8,0.77943594,15.66528203
pEIF4EBP1,pSMAD1,0.820848543,16.82670059
pEIF4EBP1,pSRC,0.844509391,17.16552076
pEIF4EBP1,pSTAT3,0.779407262,15.71854781
pEIF4EBP1,pSTAT5A,0.723139106,14.60172137
pCDC25A,pBAD,0.902796201,18.22756203
pCDC25A,pRAF1,0.912700927,18.40720793
pCDC25A,pGSK3A,0.82924682,16.76016249
pCDC25A,pH3F3A,0.778227379,15.92495985
pCDC25A,pMTOR,0.796120002,16.09876186
pCDC25A,pRPS6KB1,0.811203681,16.39548706
pCDC25A,pAKT1S1,0.655546006,13.29908033
pCDC25A,pRPS6,0.645368797,13.13421418
pBAD,pFADD,0.719495849,13.63774866
pBAD,pRPS6KB1,0.970642834,15.03531344
pBRAF,pRPS6KB1,0.744201849,14.95574305
pBRAF,pTSC2,-0.903639264,18.38740082
pCREB1,pFADD,0.950626439,19.0087096
pERBB3,pRPS6KB1,0.835667198,15.64700511
pMAPK3,pFADD,0.832957746,16.01577089
pFADD,pPRKCA,0.811226864,15.59793838
pFADD,pAKT1S1,0.756875069,14.41960522
pFADD,pRPS6,0.823931736,15.75024428
pFADD,pSMAD1,0.966312764,18.56852367
pFADD,pSTAT3,0.880935037,16.63558491
pFADD,pSTAT5A,0.95494558,18.05690581
pRPS6KB1,pAKT1S1,0.870259292,13.75108706
pRPS6KB1,pSRC,0.917887399,14.09476099
pPRKCA,BIRC5,-0.850004922,13.77920176
pASAP2,BIRC5,-0.891700581,13.92490454
